producto_id,nombre,categoria,precio_mensual,popularidad_global
PROD-001,Modulo CRM v1,CRM,299,0.263
PROD-002,Modulo ERP v1,ERP,499,0.449
PROD-003,Modulo Analytics v1,Analytics,149,0.411
PROD-004,Modulo RRHH v1,RRHH,49,0.397
PROD-005,Modulo Soporte v1,Soporte,149,0.352
PROD-006,Modulo Seguridad v1,Seguridad,299,0.275
PROD-007,Modulo Integraciones v1,Integraciones,399,0.225
PROD-008,Modulo Comunicacion v1,Comunicacion,499,0.033
PROD-009,Modulo CRM v2,CRM,199,0.052
PROD-010,Modulo ERP v2,ERP,299,0.246
PROD-011,Modulo Analytics v2,Analytics,399,0.385
PROD-012,Modulo RRHH v2,RRHH,99,0.183
PROD-013,Modulo Soporte v2,Soporte,99,0.505
PROD-014,Modulo Seguridad v2,Seguridad,399,0.216
PROD-015,Modulo Integraciones v2,Integraciones,149,0.205
PROD-016,Modulo Comunicacion v2,Comunicacion,49,0.106
PROD-017,Modulo CRM v3,CRM,99,0.376
PROD-018,Modulo ERP v3,ERP,149,0.088
PROD-019,Modulo Analytics v3,Analytics,199,0.38
PROD-020,Modulo RRHH v3,RRHH,499,0.013
PROD-021,Modulo Soporte v3,Soporte,99,0.213
PROD-022,Modulo Seguridad v3,Seguridad,299,0.298
PROD-023,Modulo Integraciones v3,Integraciones,149,0.248
PROD-024,Modulo Comunicacion v3,Comunicacion,199,0.058
PROD-025,Modulo CRM v4,CRM,499,0.154
PROD-026,Modulo ERP v4,ERP,499,0.106
PROD-027,Modulo Analytics v4,Analytics,149,0.375
PROD-028,Modulo RRHH v4,RRHH,199,0.142
PROD-029,Modulo Soporte v4,Soporte,399,0.361
PROD-030,Modulo Seguridad v4,Seguridad,299,0.172
PROD-031,Modulo Integraciones v4,Integraciones,149,0.17
PROD-032,Modulo Comunicacion v4,Comunicacion,49,0.394
PROD-033,Modulo CRM v5,CRM,399,0.249
PROD-034,Modulo ERP v5,ERP,499,0.053
PROD-035,Modulo Analytics v5,Analytics,399,0.021
PROD-036,Modulo RRHH v5,RRHH,49,0.343
PROD-037,Modulo Soporte v5,Soporte,499,0.077
PROD-038,Modulo Seguridad v5,Seguridad,399,0.099
PROD-039,Modulo Integraciones v5,Integraciones,49,0.072
PROD-040,Modulo Comunicacion v5,Comunicacion,399,0.313
